TWEET,Geo,latitude,logitude,id,created_at,retweet_count,coordinates
"Saturday (28/3/2020):- This was the traffic on one of Mumbai's  main artery road on the Western side at Prabhadevi at 1045 hrs in the morning. I had to visit the bank ATM  for my daily ""Kharcha-Paani"" expenses after… https://t.co/PD24ityUj3","{'coordinates': [19.016905, 72.828649], 'type': 'Point'}",19.016905,72.828649,1.24378E+18,Sat Mar 28 06:15:49 +0000 2020,1,"{'coordinates': [72.828649, 19.016905], 'type': 'Point'}"
"Grey St  (C477), Traralgon - Road Closed, Traffic Management are on-site to assist with traffic… https://t.co/Q7vamrgw7q #victraffic","{'coordinates': [-38.19310335, 146.53576955], 'type': 'Point'}",-38.19310335,146.5357696,1.24375E+18,Sat Mar 28 04:03:02 +0000 2020,0,"{'coordinates': [146.53576955, -38.19310335], 'type': 'Point'}"
"Grey St  (C477), Traralgon - Road Closed, Emergency Services are on-site to assist with traffic diversions.","{'coordinates': [-38.19310335, 146.53576955], 'type': 'Point'}",-38.19310335,146.5357696,1.24372E+18,Sat Mar 28 01:57:02 +0000 2020,0,"{'coordinates': [146.53576955, -38.19310335], 'type': 'Point'}"
🚦 #Tipperary: Road works will take place on the L8212 Barronstown Roads from 8am-4.30pm 30/03/20 to 10/04/20. Stop/Go System will be in place. TippCo Co #RoadAlert  via @tipperarycoco https://t.co/vAa8Z7Z3P0,"{'coordinates': [52.49322616, -8.19847561], 'type': 'Point'}",52.49322616,-8.19847561,1.24358E+18,Fri Mar 27 16:42:46 +0000 2020,0,"{'coordinates': [-8.19847561, 52.49322616], 'type': 'Point'}"
"(Update) 94671: Obstruction on N3 Westbound after Ramp to Umlaas Road is now clear. Drive Carefully. 
https://t.co/F2AoJLOyQB","{'coordinates': [-29.71696877, 30.496303], 'type': 'Point'}",-29.71696877,30.496303,1.24358E+18,Fri Mar 27 16:30:46 +0000 2020,0,"{'coordinates': [30.496303, -29.71696877], 'type': 'Point'}"
If you don't believe in visibility/sight distance traffic speed alleviation measures take a walk down Bardstown Road in the highlands this weekend and see how fast and chaotic people are driving with no cars parked… https://t.co/EkJjPZJlwW,"{'coordinates': [38.23368, -85.71206], 'type': 'Point'}",38.23368,-85.71206,1.24353E+18,Fri Mar 27 13:29:32 +0000 2020,0,"{'coordinates': [-85.71206, 38.23368], 'type': 'Point'}"
"(Update) 94669: Stationary Vehicle on Ramp from Umlaas Road (R103) Westbound is now clear. Drive Carefully. 
https://t.co/F2AoJLOyQB","{'coordinates': [-29.71710355, 30.49622508], 'type': 'Point'}",-29.71710355,30.49622508,1.24353E+18,Fri Mar 27 13:24:38 +0000 2020,0,"{'coordinates': [30.49622508, -29.71710355], 'type': 'Point'}"
"94669: Stationary Vehicle on Ramp from Umlaas Road (R103) Westbound at Ramp from Umlaas Road. Left lane closed. Drive Carefully. 
https://t.co/F2AoJLOyQB https://t.co/7UnCzSvDVg","{'coordinates': [-29.71710355, 30.49622508], 'type': 'Point'}",-29.71710355,30.49622508,1.24353E+18,Fri Mar 27 13:14:49 +0000 2020,0,"{'coordinates': [30.49622508, -29.71710355], 'type': 'Point'}"
"At 5:00 AM CDT, 1 WSW Turon [Reno Co, KS] LAW ENFORCEMENT reports FREEZING RAIN of E0.00 INCH. *** 1 INJ *** FREEZING DRIZZLE INDUCED ACCIDENT ALONG K-61 AND SUN CITY ROAD. https://t.co/O8d1aTWOtd","{'coordinates': [37.81, -98.44], 'type': 'Point'}",37.81,-98.44,1.24609E+18,Fri Apr 03 15:00:13 +0000 2020,0,"{'coordinates': [-98.44, 37.81], 'type': 'Point'}"
"At 5:00 AM CDT, 1 WSW Turon [Reno Co, KS] LAW ENFORCEMENT reports FREEZING RAIN of E0.00 INCH. *** 1 INJ *** FREEZING DRIZZLE INDUCED ACCIDENT ALONG K-61 AND SUN CITY ROAD. https://t.co/6rkZHqnSmV","{'coordinates': [37.81, -98.44], 'type': 'Point'}",37.81,-98.44,1.24609E+18,Fri Apr 03 15:00:13 +0000 2020,0,"{'coordinates': [-98.44, 37.81], 'type': 'Point'}"
"Cleared: Motor Vehicle Accident: POMFRET - Route 44 CLOSED btween Woodstock Road an Tyrone Road, because of Motor Vehicle Accident...","{'coordinates': [41.857967, -71.979815], 'type': 'Point'}",41.857967,-71.979815,1.24598E+18,Fri Apr 03 07:47:05 +0000 2020,0,"{'coordinates': [-71.979815, 41.857967], 'type': 'Point'}"
"Motor Vehicle Accident: POMFRET - Route 44 CLOSED at number 68 Putnam Road, because of Motor Vehicle Accident (Car/Pole). Reported...","{'coordinates': [41.857967, -71.979815], 'type': 'Point'}",41.857967,-71.979815,1.24579E+18,Thu Apr 02 19:22:42 +0000 2020,0,"{'coordinates': [-71.979815, 41.857967], 'type': 'Point'}"
"""So, it’s turns out y’all non-essentials are the bad drivers."" --Alejandro Vega

#traffic #accident #road #roads #nonessential #COVID-19 #Houston @ Houston, Texas https://t.co/DGmb7Qxenp","{'coordinates': [29.7602, -95.3694], 'type': 'Point'}",29.7602,-95.3694,1.24572E+18,Thu Apr 02 14:37:28 +0000 2020,0,"{'coordinates': [-95.3694, 29.7602], 'type': 'Point'}"
